RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,Notes
27497,52552,STANDARD,DRAKESVILLE,IA,PRIMARY,40.79,-92.48,-0.03,-0.75,0.65,NA,US,"Drakesville, IA",NA-US-IA-DRAKESVILLE,FALSE,317,614,7525739,
27498,52001,STANDARD,DUBUQUE,IA,PRIMARY,42.5,-90.69,-8.88E-03,-0.73,0.67,NA,US,"Dubuque, IA",NA-US-IA-DUBUQUE,FALSE,19421,31922,576268216,
27507,52002,STANDARD,DUBUQUE,IA,PRIMARY,42.5,-90.69,-8.88E-03,-0.73,0.67,NA,US,"Dubuque, IA",NA-US-IA-DUBUQUE,FALSE,6774,12501,294009338,
27509,52003,STANDARD,DUBUQUE,IA,PRIMARY,42.5,-90.69,-8.88E-03,-0.73,0.67,NA,US,"Dubuque, IA",NA-US-IA-DUBUQUE,FALSE,6880,12170,313811358,
27510,52004,PO BOX,DUBUQUE,IA,PRIMARY,42.5,-90.69,-8.88E-03,-0.73,0.67,NA,US,"Dubuque, IA",NA-US-IA-DUBUQUE,FALSE,423,596,7184115,
27515,50625,STANDARD,DUMONT,IA,PRIMARY,42.75,-92.97,-0.03,-0.73,0.67,NA,US,"Dumont, IA",NA-US-IA-DUMONT,FALSE,456,825,11080132,
27516,50532,STANDARD,DUNCOMBE,IA,PRIMARY,42.46,-93.99,-0.05,-0.73,0.67,NA,US,"Duncombe, IA",NA-US-IA-DUNCOMBE,FALSE,453,789,13543169,
27520,50626,STANDARD,DUNKERTON,IA,PRIMARY,42.56,-92.15,-0.02,-0.73,0.67,NA,US,"Dunkerton, IA",NA-US-IA-DUNKERTON,FALSE,772,1458,28643143,
27521,52747,STANDARD,DURANT,IA,PRIMARY,41.6,-90.9,-0.01,-0.74,0.66,NA,US,"Durant, IA",NA-US-IA-DURANT,FALSE,1094,1983,41187754,
27522,52040,STANDARD,DYERSVILLE,IA,PRIMARY,42.48,-91.11,-0.01,-0.73,0.67,NA,US,"Dyersville, IA",NA-US-IA-DYERSVILLE,FALSE,2738,4964,90685121,
27524,52224,STANDARD,DYSART,IA,PRIMARY,42.17,-92.3,-0.02,-0.74,0.67,NA,US,"Dysart, IA",NA-US-IA-DYSART,FALSE,916,1735,29365455,
27525,50533,STANDARD,EAGLE GROVE,IA,PRIMARY,42.66,-93.9,-0.05,-0.73,0.67,NA,US,"Eagle Grove, IA",NA-US-IA-EAGLE GROVE,FALSE,1798,3157,49185626,
27526,50072,STANDARD,EARLHAM,IA,PRIMARY,41.49,-94.12,-0.05,-0.74,0.66,NA,US,"Earlham, IA",NA-US-IA-EARLHAM,FALSE,1211,2342,54687197,
27528,52041,STANDARD,EARLVILLE,IA,PRIMARY,42.48,-91.26,-0.01,-0.73,0.67,NA,US,"Earlville, IA",NA-US-IA-EARLVILLE,FALSE,786,1448,23958781,
27529,50535,STANDARD,EARLY,IA,PRIMARY,42.46,-95.15,-0.06,-0.73,0.67,NA,US,"Early, IA",NA-US-IA-EARLY,FALSE,417,763,12317502,
